,全氮(%),全磷(%),全钾(%),group,source_type,name
91,1.9484,0.1586,1.7543,34,single,34-11
90,3.0438,0.0993,0.7057,34,single,34-6
31,2.5225,0.270043236565781,1.60201770640313,35,complex,35
94,2.4546,0.1677,1.8813,35,single,35-8
95,2.419,0.1439,2.1248,35,single,35-11
93,2.5087,0.1652,1.4599,35,single,35-5
98,2.9962,0.0751,0.6345,36,single,36-15
97,2.245,0.1549,1.5657,36,single,36-10
96,2.4948,0.181,1.8565,36,single,36-7
32,2.4382,0.275227686703096,1.2237401335762,36,complex,36
101,1.9191,0.1338,0.806,37,single,37-16
100,2.1786,0.1459,0.7554,37,single,37-13
99,3.2181,0.0663,0.3121,37,single,37-7
33,2.3284,0.278964194373402,1.15121483375959,37,complex,37
34,2.2458,0.308312342569269,1.80268681780017,38,complex,38
104,2.039,0.1819,2.1742,38,single,38-15
103,2.1694,0.221,1.846,38,single,38-13
102,2.1617,0.2834,1.2006,38,single,38-8
35,2.1152,0.317461289063156,1.51840011143362,39,complex,39
107,2.133,0.2399,1.223,39,single,39-16
106,1.9141,0.2228,1.9692,39,single,39-14
105,2.4815,0.2364,1.7815,39,single,39-12
108,2.4187,0.198,1.7463,40,single,40-8
109,2.3293,0.2193,1.8391,40,single,40-12
110,2.4739,0.2031,1.8192,40,single,40-13
36,2.2701,0.235274505445655,1.80717937319404,40,complex,40
111,2.3443,0.1464,1.2505,41,single,41-7
112,2.6975,0.1547,1.6853,41,single,41-18
113,2.8237,0.1492,1.5694,41,single,41-20
37,2.6098,0.194186835557566,1.63548970821081,41,complex,41
114,2.2153,0.1679,1.6734,44,single,44-5
115,2.5288,0.1725,1.6973,44,single,44-12
116,2.1613,0.1333,1.34,44,single,44-18
38,2.1715,0.219750470809793,1.58439265536723,44,complex,44
39,2.0735,0.212388340385519,1.4528678890456,45,complex,45
119,1.9158,0.1359,1.3304,45,single,45-12
118,2.1403,0.1359,1.3772,45,single,45-10
117,1.9001,0.1382,1.3345,45,single,45-7
122,1.9196,0.1763,1.3891,46,single,46-14
120,2.3732,0.1585,1.5925,46,single,46-6
40,2.3394,0.223246450519178,1.40506463233736,46,complex,46
121,2.0126,0.1364,1.0476,46,single,46-8
123,2.1066,0.1954,1.3904,47,single,47-8
124,2.4313,0.1932,1.8382,47,single,47-11
125,2.6566,0.2248,2.2446,47,single,47-12
41,2.2089,0.237248046071576,1.40487453722748,47,complex,47
42,2.4703,0.19676581680831,1.47084513692162,48,complex,48
126,2.2842,0.1293,0.8833,48,single,48-6
128,2.4975,0.1255,1.4741,48,single,48-16
127,2.5175,0.1643,2.0772,48,single,48-13
130,2.6352,0.2588,1.4914,49,single,49-17
129,2.404,0.1848,1.2417,49,single,49-6
131,2.3739,0.1689,1.668,49,single,49-20
43,2.551,0.257884281102558,1.36093866401788,49,complex,49
44,2.453,0.213493530499076,0.849088988645366,50,complex,50
132,2.4085,0.1444,1.1695,50,single,50-7
133,2.9752,0.1717,1.1156,50,single,50-11
134,2.6536,0.1747,0.9096,50,single,50-13
45,2.3962,0.222013274336283,1.53329646017699,51,complex,51
135,2.5143,0.1551,1.5322,51,single,51-6
137,2.3469,0.1676,1.6394,51,single,51-19
136,2.3578,0.1511,1.3086,51,single,51-13
140,2.4445,0.2587,2.1511,52,single,52-20
139,2.2779,0.2437,2.3493,52,single,52-14
46,2.4842,0.335853885528153,2.22906002791996,52,complex,52
138,2.4809,0.2761,2.4433,52,single,52-7
143,2.1146,0.1782,1.1437,53,single,53-21
142,0.2196,0.1368,1.0942,53,single,53-18
141,2.1991,0.1764,1.6623,53,single,53-8
47,2.208,0.232533521524347,1.59503646200894,53,complex,53
144,1.8268,0.2268,1.6093,54,single,54-6
145,2.0557,0.2114,1.539,54,single,54-11
146,2.1293,0.2594,1.8677,54,single,54-16
48,2.0103,0.26311844077961,1.79492396658813,54,complex,54
49,2.0112,0.239962554607864,1.7017890576243,58,complex,58
147,2.1629,0.1765,1.7818,58,single,58-6
148,1.6868,0.2229,1.815,58,single,58-12
149,1.9435,0.1355,1.5383,58,single,58-24
150,2.5191,0.1587,1.031,59,single,59-13
151,2.2773,0.1541,1.2622,59,single,59-14
152,2.4116,0.1834,1.2641,59,single,59-16
50,2.298,0.221230158730159,1.20822310405644,59,complex,59
154,2.1536,0.1575,1.6095,60,single,60-13
51,2.2453,0.17440583540422,1.65388436068234,60,complex,60
153,2.2041,0.1635,1.1931,60,single,60-7
